time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2017-09-26T22:57:42.746	2.046	-94.763	15.793	100654.619	0.708	0.283	0.007	1	5.574
2017-09-10T20:33:07.275	1.604	-98.797	15.332	32314.186	0.470	0.347	-0.002	27	6.721
2017-09-10T20:47:31.807	3.259	-95.149	15.523	80649.531	0.621	0.310	-0.014	28	9.990
2017-09-30T03:51:04.163	1.522	-94.928	15.561	112266.911	0.795	0.498	0.126	35	8.960
2017-09-12T15:31:53.107	2.430	-94.042	15.064	20884.931	0.633	0.349	-0.024	122	7.000
2017-09-12T15:33:05.323	2.286	-95.226	15.213	6416.124	0.915	0.329	0.016	123	11.314
2017-09-12T15:37:18.739	1.925	-95.032	15.521	728.306	0.688	0.391	-0.255	124	9.807
2017-09-12T15:41:55.436	2.074	-95.153	15.595	33103.348	0.987	0.459	-0.306	125	13.984
2017-09-12T15:46:37.548	1.784	-94.899	15.414	33541.003	0.493	0.468	-0.117	126	7.747
2017-09-12T16:01:04.834	2.127	-94.783	15.531	50607.822	0.733	0.367	-0.111	127	8.854
2017-09-28T19:57:11.106	1.971	-94.642	15.670	0.000	0.089	0.439	0.030	135	4.641
2017-09-28T00:14:50.191	1.880	-94.787	15.887	24292.156	0.604	0.403	-0.037	139	7.368
2017-09-27T12:04:30.376	1.949	-94.816	15.198	37364.694	0.700	0.249	0.150	173	12.022
2017-09-27T12:04:34.484	1.481	-95.895	14.420	0.000	0.675	0.433	0.151	174	5.553
2017-09-27T12:14:29.868	1.438	-95.353	15.635	0.000	0.554	0.579	-0.322	175	6.314
2017-09-27T12:22:52.837	3.011	-94.707	15.343	33671.203	0.684	0.347	-0.134	176	10.770
2017-09-27T10:26:38.603	2.219	-95.261	17.171	199185.437	0.522	0.215	0.045	181	7.631
2017-09-27T10:27:01.030	2.448	-98.868	17.843	51743.473	0.337	0.420	-0.044	182	10.063
2017-09-27T10:30:08.577	1.831	-95.008	15.496	34079.673	0.691	0.374	-0.112	183	10.432
2017-09-26T20:31:58.143	1.910	-94.760	15.069	35479.937	0.833	0.398	-0.072	188	12.918
2017-09-26T20:39:54.806	2.910	-95.136	15.198	38759.281	0.544	0.575	-0.119	189	14.285
2017-09-21T02:40:43.605	1.788	-95.167	15.267	51713.337	0.044	0.585	-0.009	2	4.991
2017-09-21T02:44:02.393	2.201	-94.187	13.882	119962.609	0.920	0.330	-0.184	3	4.953
2017-09-21T02:47:00.880	1.755	-94.830	15.768	0.000	1.053	0.227	0.006	4	5.000
2017-09-21T02:48:25.792	1.791	-94.942	15.810	6298.561	0.893	0.277	-0.056	5	7.675
2017-09-29T06:25:00.059	2.214	-96.030	16.452	305568.747	0.315	0.524	-0.058	16	5.280
2017-09-29T06:29:44.003	1.937	-94.511	15.242	32740.164	0.608	0.321	-0.108	17	7.873
2017-09-29T06:31:33.432	1.458	-95.042	15.736	108529.165	0.799	0.350	0.150	18	6.857
2017-09-21T20:22:28.715	3.346	-94.166	14.989	32930.947	0.717	0.456	-0.336	32	19.139
2017-09-17T12:41:27.230	1.676	-95.019	15.964	5981.102	1.022	0.436	-0.781	44	12.325
2017-09-17T12:50:41.762	1.968	-94.778	15.606	49315.456	0.485	0.287	-0.073	45	6.430
2017-09-17T12:52:23.620	2.406	-94.771	15.594	46035.509	0.787	0.214	-0.017	46	6.756
2017-09-12T23:02:01.546	1.899	-94.859	15.278	33264.059	0.830	0.516	-0.113	82	11.909
2017-09-12T23:06:09.612	2.368	-94.889	15.871	32811.712	0.635	0.489	-0.089	83	6.142
2017-09-13T05:09:30.383	3.673	-93.713	15.163	24212.893	0.389	0.387	0.010	91	10.474
2017-09-28T11:38:01.595	1.732	-97.474	16.188	26304.708	0.547	0.255	0.011	96	9.087
2017-09-28T11:39:11.305	1.820	-94.341	15.141	0.000	0.843	0.263	0.134	97	8.060
2017-09-28T11:39:45.755	2.351	-94.253	15.223	0.000	0.721	0.510	0.240	98	5.983
2017-09-29T20:22:37.086	2.253	-94.802	15.451	35931.970	0.552	0.305	-0.034	104	8.000
2017-09-29T20:25:16.113	1.333	-95.119	16.272	0.000	0.858	0.420	-0.804	105	9.903
2017-09-09T15:26:33.863	1.957	-94.872	15.521	34567.887	0.984	0.525	-0.484	108	9.899
