CCIG  IG  HH   16 16.8600N 92  8.1600W1625
CMIG  IG  HH   17  5.4600N 94 52.9800W  75
HLIG  IG  HH   17 49.8000N 97 48.1800W1773
HUIG  IG  HH   15 46.1400N 96  6.4800W 102
OXIG  IG  HH   17  4.3200N 96 43.9800W1712
PCIG  IG  HH   15 42.2400N 93 13.0800W  69
PEIG  IG  HH   15 59.8800N 97  8.8200W 332
PNIG  IG  HH   16 23.5200N 98  7.6200W 237
TGIG  IG  HH   16 46.6800N 93  7.3200W 608
THIG  IG  HH   14 52.9200N 92 17.7000W 117
TLIG  IG  HH   17 33.7200N 98 33.9600W1109
TOIG  IG  HH   18  5.7000N 97  3.8400W1011
TUIG  IG  HH   18  1.9800N 94 25.3200W  17
TXIG  IG  HH   17 15.2400N 97 45.6600W2314
YOIG  IG  HH   16 51.4200N 97 32.7000W2274
B01   ZB  HH   14 33.5400N 92 12.9600W  10
B02   ZB  HH   15 16.9800N 92 41.6400W  29
B03   ZB  HH   15 26.4600N 92 53.4600W  53
B04   ZB  HH   15 33.5400N 92 12.9600W2212
B05   ZB  HH   16  4.6800N 93 47.0400W  31
B06   ZB  HH   16 17.4600N 94 11.6400W  22
B07   ZB  HH   16 39.7200N 93 38.5200W 531
B08   ZB  HH   16 13.2600N 95 12.0600W  20
B09   ZB  HH   15 54.5400N 95 48.5400W  26
B10   ZB  HH   16 13.4400N 93 16.2600W 567
A01   ZB  HH   16 26.6400N 95  0.9000W  28
A03   ZB  HH   16 21.4800N 94 28.8000W  17
A04   ZB  HH   16 14.8200N 93 54.7200W  69
