ID,latitude,longitude,depth,X,Y,Z,EX,EY,EZ,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID,time_utc
1,16.182997,-97.565511,-12.959,-265.2,3623.8,-797.0,267.7,85.7,209.7,1.414,0,0,22,23,-9.0,0.137,3,2017-09-06 05:01:24.370
2,16.30844,-98.115324,-15.02,-7152.4,2782.0,1708.3,3291.7,2133.6,2550.1,1.52,0,0,8,5,-9.0,0.434,7,2017-09-06 06:59:42.020
3,17.005999,-98.3712,-46.36,2534.4,-3264.9,-2719.8,30.5,48.5,40.6,0.851,0,0,2,3,-9.0,0.039,12,2017-09-07 01:19:00.670
4,16.103806,-97.592196,-9.32,-3120.2,-5139.4,-4436.1,248.7,199.1,192.4,0.946,0,0,18,17,-9.0,0.087,3,2017-09-07 04:40:53.120
5,16.16379,-97.555802,-11.619,773.1,1498.4,-2137.5,127.9,207.0,309.4,1.52,0,0,14,16,-9.0,0.082,3,2017-09-07 16:44:43.310
6,16.164286,-97.593327,-24.388,-3240.5,1553.3,10631.3,482.8,589.1,830.7,0.611,0,0,6,7,-9.0,0.221,3,2017-09-07 17:39:57.220
7,15.213938,-94.753605,-28.204,8304.7,-26155.4,-350.4,573.7,783.8,1608.4,3.672,0,0,296,81,-9.0,0.323,1,2017-09-08 05:17:38.430
8,15.143345,-94.530566,-31.476,32260.4,-33966.6,2921.3,1031.2,1112.1,1582.4,3.232,0,0,32,6,-9.0,0.371,1,2017-09-08 05:24:33.900
9,15.220655,-94.794287,-31.951,3935.7,-25412.0,3396.2,541.6,491.2,640.1,3.51,0,0,387,273,-9.0,0.28,1,2017-09-08 05:44:25.120
10,15.178674,-94.804712,-29.391,2817.0,-30057.4,836.1,894.0,1466.9,1323.7,3.306,0,0,138,293,-9.0,0.323,1,2017-09-08 05:57:59.260
11,15.115597,-94.789868,-29.968,4411.7,-37037.1,1413.8,837.4,823.7,1597.4,2.974,0,0,154,40,-9.0,0.324,1,2017-09-08 07:20:30.660
12,15.561945,-95.158455,-31.02,-35140.5,12352.4,2465.2,966.6,1251.7,1247.2,3.058,0,0,29,6,-9.0,0.301,1,2017-09-08 07:21:09.970
13,15.285665,-94.829134,-30.895,194.0,-18218.6,2340.3,708.9,891.9,1059.9,2.852,0,0,202,188,-9.0,0.244,1,2017-09-08 07:23:38.800
14,14.92069,-94.722673,-23.835,11634.3,-58604.0,-4719.3,2578.4,2952.3,3203.2,3.059,0,0,7,0,-9.0,0.247,1,2017-09-08 07:30:31.930
15,15.101002,-94.655558,-74.049,18838.4,-38652.1,45494.4,1600.6,2201.6,3996.7,3.461,0,0,100,3,-9.0,0.379,1,2017-09-08 07:38:32.780
16,15.081486,-94.674235,-24.182,16832.5,-40811.5,-4373.0,1058.9,1211.6,910.2,2.922,0,0,88,11,-9.0,0.291,1,2017-09-08 07:46:13.680
17,15.039259,-95.253971,-32.504,-45444.9,-45484.1,3949.7,1008.2,1350.9,1334.0,2.992,0,0,17,9,-9.0,0.366,1,2017-09-08 07:59:58.540
18,15.006663,-95.055143,-54.356,-24087.5,-49090.8,25801.1,2395.8,2922.7,5473.5,2.629,0,0,5,5,-9.0,0.409,1,2017-09-08 08:15:21.800
19,15.37798,-94.96556,-32.52,-14449.7,-8003.8,3965.7,742.2,1108.8,1459.7,2.558,0,0,86,108,-9.0,0.33,1,2017-09-08 08:38:29.780
20,15.577017,-94.82557,-27.322,576.5,14020.2,-1232.3,1050.2,1771.8,1514.1,3.05,0,0,38,9,-9.0,0.312,1,2017-09-08 08:41:12.220
21,15.158139,-94.800716,-29.827,3246.4,-32329.6,1272.1,923.7,1462.6,1601.9,2.477,0,0,96,128,-9.0,0.311,1,2017-09-08 08:50:09.490
22,15.129984,-94.669808,-34.535,17306.5,-35445.1,5980.5,598.7,840.0,1530.8,2.959,0,0,268,81,-9.0,0.283,1,2017-09-08 09:08:14.440
23,15.387234,-95.192131,-28.993,-38769.7,-6979.7,438.2,1165.8,1102.5,1510.0,2.827,0,0,11,15,-9.0,0.332,1,2017-09-08 09:16:22.000
24,15.196705,-94.81259,-27.807,1970.4,-28062.2,-747.3,788.5,943.6,885.6,2.497,0,0,181,216,-9.0,0.313,1,2017-09-08 09:26:02.490
25,15.161761,-94.777759,-34.406,5711.3,-31928.8,5851.0,1151.6,1111.7,1647.6,2.688,0,0,236,151,-9.0,0.302,1,2017-09-08 10:22:16.830
26,15.055993,-94.4861,-38.587,37043.9,-43632.4,10032.7,1004.8,1229.0,4160.0,2.474,0,0,47,10,-9.0,0.309,1,2017-09-08 10:59:59.510
27,15.619236,-94.911287,-55.245,-8619.6,18691.8,26690.4,931.9,1498.5,3050.8,2.932,0,0,49,16,-9.0,0.3,1,2017-09-08 11:06:11.540
28,15.290163,-94.790959,-26.028,4292.2,-17720.8,-2527.1,1184.9,1251.3,961.5,3.014,0,0,233,105,-9.0,0.299,1,2017-09-08 11:11:54.620
29,15.191574,-94.848844,-17.409,-1922.5,-28630.0,-11145.4,896.6,1057.4,994.3,2.552,0,0,4,9,-9.0,0.384,1,2017-09-08 11:22:29.540
30,15.311772,-94.959855,-60.741,-13839.6,-15329.8,32186.2,1104.5,1722.0,3131.0,3.482,0,0,122,47,-9.0,0.36,1,2017-09-08 11:25:52.280
31,15.314215,-94.788102,-32.758,4598.7,-15059.5,4203.7,694.7,947.0,703.0,2.725,0,0,269,97,-9.0,0.245,1,2017-09-08 11:33:18.750
32,15.249728,-95.168042,-53.968,-36195.6,-22195.1,25413.1,1584.4,1964.2,3684.2,3.361,0,0,28,9,-9.0,0.278,1,2017-09-08 11:43:06.970
33,15.115186,-94.590796,-67.349,25793.4,-37082.6,38794.7,1410.2,2012.5,4203.1,2.856,0,0,127,18,-9.0,0.344,1,2017-09-08 12:12:22.690
34,15.041624,-95.056844,-31.808,-24267.9,-45222.3,3253.1,1335.7,1517.7,2029.4,2.677,0,0,8,13,-9.0,0.178,1,2017-09-08 12:21:43.440
35,15.034043,-94.195093,-35.154,68307.6,-46061.2,6599.2,1255.5,1168.9,2381.3,2.947,0,0,14,2,-9.0,0.366,1,2017-09-08 12:45:59.220
36,14.931211,-94.981209,-22.969,-16146.6,-57439.7,-5585.3,1397.9,1573.9,1729.7,2.403,0,0,31,7,-9.0,0.308,1,2017-09-08 13:33:53.640
37,15.188944,-94.705924,-30.395,13425.2,-28921.0,1840.6,1113.9,1702.9,1653.7,2.523,0,0,186,14,-9.0,0.334,1,2017-09-08 13:36:45.140
38,15.091354,-94.71512,-29.416,12440.4,-39719.5,861.1,1012.8,1031.9,910.8,2.6,0,0,180,111,-9.0,0.31,1,2017-09-08 14:14:29.720
39,15.063053,-95.092375,-29.194,-28083.2,-42851.1,639.1,929.0,1099.4,1412.5,2.288,0,0,51,18,-9.0,0.327,1,2017-09-08 14:16:19.320
40,15.418629,-94.416056,-27.775,44529.5,-3505.9,-779.7,782.8,1176.7,1679.0,3.571,0,0,14,4,-9.0,0.305,1,2017-09-08 14:24:56.460
41,15.090932,-95.084285,-11.706,-27212.3,-39766.2,-16848.5,1537.6,1693.4,1619.3,2.704,0,0,6,2,-9.0,0.185,1,2017-09-08 14:43:08.350
42,15.269524,-95.312077,-12.547,-51658.7,-20004.6,-16007.9,1946.1,1727.4,1514.9,2.138,0,0,5,1,-9.0,0.347,1,2017-09-08 14:49:47.070
43,14.955905,-94.939941,-31.701,-11712.0,-54707.4,3146.6,1820.3,2022.0,2717.1,2.597,0,0,27,6,-9.0,0.286,1,2017-09-08 14:53:33.450
44,15.384155,-94.990275,-34.827,-17103.2,-7320.4,6271.9,959.1,955.8,1584.3,2.053,0,0,98,39,-9.0,0.28,1,2017-09-08 15:10:58.540
45,15.295265,-94.891268,-30.789,-6476.8,-17156.4,2234.3,675.2,900.7,1186.8,2.53,0,0,108,97,-9.0,0.27,1,2017-09-08 15:11:50.390
46,15.202277,-94.837199,-73.465,-671.8,-27445.8,44910.8,1661.4,2015.6,3048.6,2.718,0,0,29,13,-9.0,0.319,1,2017-09-08 15:13:22.420
47,15.247104,-94.818392,-27.245,1347.3,-22485.5,-1309.4,799.7,823.7,603.7,2.336,0,0,178,139,-9.0,0.227,1,2017-09-08 15:36:07.460
48,14.603259,-94.253874,-27.074,1700.5,-1614.3,-5496.5,5506.2,4542.2,5846.1,2.0,0,0,9,0,-9.0,0.806,21,2017-09-08 16:19:11.380
49,15.452831,-95.12841,-56.03,-31925.1,278.7,27475.4,1281.0,1247.0,2328.8,3.122,0,0,32,9,-9.0,0.375,1,2017-09-08 16:29:00.460
50,15.07525,-94.690511,-28.57,15084.6,-41501.5,15.7,1387.6,1058.9,1109.8,2.466,0,0,99,50,-9.0,0.284,1,2017-09-08 16:40:17.410
51,14.806529,-95.022526,-6.043,-4508.0,-2525.1,-237.1,15674.1,18619.5,13814.3,2.728,0,0,7,3,-9.0,0.838,26,2017-09-08 17:01:46.820
52,15.189863,-94.827515,-32.597,367.8,-28819.3,4042.2,1135.9,1242.3,1564.6,3.434,0,0,361,128,-9.0,0.391,1,2017-09-08 17:02:52.120
53,15.38015,-94.665487,-26.655,17759.6,-7763.6,-1899.5,1060.9,1438.0,1277.8,2.548,0,0,122,50,-9.0,0.315,1,2017-09-08 17:09:18.520
54,15.065159,-94.654468,-20.957,18957.1,-42618.1,-7597.5,948.7,873.8,787.2,2.663,0,0,50,21,-9.0,0.255,1,2017-09-08 17:21:53.840
55,15.245039,-94.824447,-31.728,697.5,-22714.0,3173.2,592.9,803.6,607.6,2.5,0,0,227,240,-9.0,0.257,1,2017-09-08 17:40:06.820
56,15.102135,-95.103483,-32.299,-29273.7,-38526.7,3744.4,951.3,1077.7,1410.0,2.854,0,0,70,40,-9.0,0.402,1,2017-09-08 18:24:09.560
57,15.193175,-94.82098,-27.867,1069.8,-28452.8,-687.5,1216.2,1143.6,1070.6,2.577,0,0,265,147,-9.0,0.302,1,2017-09-08 18:28:18.080
58,15.859118,-95.116423,-75.86,-30608.4,45235.3,47305.3,4341.9,6430.8,9691.7,3.871,0,0,14,1,-9.0,0.317,1,2017-09-08 18:57:21.660
59,15.269007,-94.658781,-26.284,18484.4,-20061.8,-2271.0,832.9,1003.3,811.3,2.73,0,0,120,19,-9.0,0.382,1,2017-09-08 19:04:44.920
